symbol,date,open,high,low,close,volume,adjclose,dividends,splits,rolling_30day_high,sma25,sma50,sma100,pc_sma25_by_close,pc_sma50_by_close,pc_sma25_by_sma100,mean_of_sma50_by_close_last_5_days
etsy,2023-03-31,109.20999908447266,111.61000061035156,108.61000061035156,111.33000183105469,2671900,111.33000183105469,0.0,0.0,133.49000549316406,110.77759918212891,123.51659912109375,123.66079963684082,0.49865916304755387,-9.866364016460258,-0.11660972286331002,-13.528900352797967
evrg,2023-03-31,60.540000915527344,61.150001525878906,60.45000076293945,61.119998931884766,1345400,61.119998931884766,0.0,0.0,62.380001068115234,59.05054107666015,59.88648872375488,60.20200157165527,3.5045535866267787,2.0597470888965232,-0.5240902954445047,0.24404844961572766
ew,2023-03-31,82.04000091552734,82.77999877929688,81.38999938964844,82.7300033569336,2878700,82.7300033569336,0.0,0.0,82.77999877929688,79.67880035400391,78.95500015258789,76.9066000366211,3.829378692165961,4.781208532772039,2.6634906691901423,3.365487623979508
exc,2023-03-31,41.54999923706055,41.93000030517578,41.349998474121094,41.88999938964844,5378200,41.88999938964844,0.0,0.0,43.34000015258789,40.966000366210935,41.126806564331055,41.06453914642334,2.255526571248152,1.8557065064694167,0.15163306152222014,0.0390556844631897
expd,2023-03-31,107.44000244140625,110.45999908447266,107.3499984741211,110.12000274658203,1576100,110.12000274658203,0.0,0.0,112.66000366210938,106.9779995727539,108.77759963989257,108.952943649292,2.9370554566140554,1.2340804642991527,-0.16093554109362856,-1.9515374694440653
expe,2023-03-31,97.0,97.44999694824219,96.33000183105469,97.02999877929688,1994400,97.02999877929688,0.0,0.0,110.63999938964844,98.68840057373046,106.40820022583007,100.90999984741211,-1.6804424682053583,-8.813419855452723,5.448617963266171,-11.616521359135238
exr,2023-03-31,160.00999450683594,163.0800018310547,158.58999633789062,162.92999267578125,1041500,162.92999267578125,0.0,0.0,170.3000030517578,158.4593115234375,158.04859375,154.2225764465332,2.8213432895563892,3.088543092956966,2.480841256593349,-0.8177115265934969
f,2023-03-31,12.40999984741211,12.630000114440918,12.390000343322754,12.600000381469727,66820200,12.600000381469727,0.0,0.0,13.180000305175781,12.063200035095214,12.277369689941406,12.249752225875854,4.449900066423591,2.627848632697325,0.22545324637027017,-1.962689384209878
fang,2023-03-31,133.5399932861328,135.60000610351562,133.4499969482422,135.1699981689453,1945400,135.1699981689453,0.0,0.0,146.8800048828125,133.94750915527345,137.39222961425781,139.19136909484862,0.9126627448180007,-1.6174360453656187,-1.2925654027907647,-4.090255937565454
fast,2023-03-31,53.06999969482422,53.97999954223633,52.900001525878906,53.939998626708984,2599600,53.939998626708984,0.0,0.0,54.27000045776367,52.4320002746582,52.01944160461426,50.630362548828124,2.876103036602325,3.691998535263724,2.7435692455223886,2.2511575808942665
